lon,lat,so2,no2,voc,co,pm25,pm10,nh3
102.627353414,29.1128746977,0.0,0.0,0.0,0.0,0.0,0.0,0.982643087086
102.658511508,29.113284069,0.0,0.0,0.0,0.0,0.0,0.0,1.70452666351
102.689669898,29.1136846388,0.0,0.0,0.0,0.0,0.0,0.0,0.258702774048
102.720828579,29.114076407,0.0,0.0,0.0,0.0,0.0,0.0,0.985282152741
102.751987543,29.1144593735,0.0,0.0,0.0,0.0,0.0,0.0,1.77485788277
102.783146785,29.1148335381,0.0,0.0,0.0,0.0,0.0,0.0,0.167244481389
102.814306298,29.1151989006,0.0,0.0,0.0,0.0,0.0,0.0,0.613447154751
102.845466075,29.115555461,0.0,0.0,0.0,0.0,0.0,0.0,1.99348775363
102.87662611,29.1159032191,0.0,0.0,0.0,0.0,0.0,0.0,2.34838676993
102.907786397,29.1162421748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.938946929,29.116572328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.9701077,29.1168936785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.001268703,29.1172062263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.032429932,29.1175099712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.06359138,29.1178049131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.094753041,29.1180910518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.125914908,29.1183683874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.157076975,29.1186369197,0.0,0.0,0.0,0.0,0.0,0.0,1.70744802662
103.188239236,29.1188966486,0.0,0.0,0.0,0.0,0.0,0.0,1.22197336314
103.219401684,29.119147574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.250564313,29.1193896958,0.0,0.0,0.0,0.0,0.0,0.0,0.140442207693
103.281727116,29.119623014,0.0,0.0,0.0,0.0,0.0,0.0,0.682113412864
103.312890086,29.1198475283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.344053218,29.1200632389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.375216505,29.1202701455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.40637994,29.1204682482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.437543517,29.1206575468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.46870723,29.1208380412,0.0,0.0,0.0,0.0,0.0,0.0,0.319001881293
103.499871072,29.1210097315,0.0,0.0,0.0,0.0,0.0,0.0,0.99605598955
103.531035036,29.1211726175,0.0,0.0,0.0,0.0,0.0,0.0,0.787554511227
