ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
380,37.46294385,105.2324812,9.84,197,189,7.67,2600,,,,,,,,51183,156.9465,96.4839,0.4116,19.91,19.7984,34.7341,34.7341
381,37.46466797,105.6826148,2.62,164,187,40.87,3259,,,,,,,,51122,12.225,5.6649,0.0635,3.0715,2.4393,4.2795,4.2795
382,37.46473183,105.7172411,4.92,197,187,12.67,3259,,,,,,,,51122,18.8084,8.7156,0.1134,5.4618,3.7528,6.5839,6.5839
383,37.46441745,106.2712638,4.92,197,187,25.34,3259,,,,,,,,51122,37.6167,17.4313,0.2116,10.2383,7.5059,13.1683,13.1683
384,37.4643143,106.3058899,1.64,115,234,2.91,2300,,,,,,,,51122,3.7321,0.2977,0.0032,0.1536,1.1853,2.0794,2.0794
385,37.46420132,106.3405158,4.59,131,189,11.49,2400,,,,,,,,51184,105.8445,99.2292,0.4233,20.4765,37.7071,66.1528,66.1528
386,37.46407852,106.3751416,4.59,131,189,1.72,2400,,,,,,,,51183,5.5568,3.7211,0.0159,0.7679,0.7636,1.3396,1.3396
387,37.4639459,106.4097674,9.84,197,189,0.03,2600,,,,,,,,51183,2.2227,1.4884,0.0063,0.3071,0.3054,0.5358,0.5358
388,37.46253124,106.6867679,9.84,197,189,0.04,2600,,,,,,,,51183,1.4818,0.9923,0.0042,0.2048,0.2036,0.3572,0.3572
389,37.4623102,106.7213922,4.92,148,201,0.46,2000,,,,,,,,51183,1.3583,0.9096,0.0039,0.1877,0.1867,0.3275,0.3275
390,37.48907084,105.0244143,9.84,197,189,0.06,2600,,,,,,,,51183,4.4322,2.9681,0.0127,0.6126,0.609,1.0684,1.0684
391,37.48932143,105.0590503,4.92,148,201,72,2000,,,,,,,,51183,50.629,27.3454,0.154,6.9964,2.5547,4.4819,4.4819
392,37.4895622,105.0936865,3.28,98,234,0.06,200,,,,,,,,51183,0.247,1.5237,0.2081,0.0387,0.0339,0.0595,0.0595
393,37.48979314,105.128323,2.62,164,187,0.42,3259,,,,,,,,51183,1.8523,1.2404,0.0053,0.256,0.191,0.3352,0.3352
394,37.49001425,105.1629597,4.59,131,189,0.45,2400,,,,,,,,51183,1.3958,0.935,0.004,0.1928,0.1917,0.3363,0.3363
395,37.49022554,105.1975965,2.62,164,187,3.17,3259,,,,,,,,51183,5.5568,3.7211,0.0159,0.7679,0.7636,1.3396,1.3396
396,37.490427,105.2322336,2.62,164,187,0.79,3259,,,,,,,,51183,4.322,2.8942,0.0123,0.5972,0.5939,1.0419,1.0419
397,37.4922156,105.7171669,4.92,148,201,0.6,2000,,,,,,,,51183,3.7046,2.4807,0.0106,0.5119,0.509,0.8931,0.8931
398,37.49226965,105.7518056,9.84,197,189,0.57,2600,,,,,,,,51183,37.0456,24.8073,0.1058,5.1191,5.0905,8.9306,8.9306
399,37.49231388,105.7864445,4.92,148,201,0.53,2000,,,,,,,,51183,3.9515,2.6461,0.0113,0.546,0.543,0.9526,0.9526
400,37.48979314,106.721677,6.56,164,203,0.14,2800,,,,,,,,51183,1.4818,0.9923,0.0042,0.2048,0.2036,0.3572,0.3572
401,37.51790987,105.2319858,3.94,131,189,0.94,3900,,,,,,,,51183,2.2227,1.4884,0.0063,0.3071,0.3054,0.5358,0.5358
402,37.51810157,105.2666354,1.31,98,221,9.77,2800,,,,,,,,51183,3.2106,2.1169,0.0092,0.4437,0.4412,0.774,0.774
403,37.51828344,105.3012852,2.62,164,187,0.5,3259,,,,,,,,51183,1.8523,1.2404,0.0053,0.256,0.2545,0.4465,0.4465
404,37.51845548,105.3359351,6.56,131,221,2.24,8000,,,,,,,,51122,51.7315,4.8622,0.0529,2.5596,7.7488,13.5944,13.5944
405,37.51861769,105.3705852,9.84,197,189,1.47,2600,,,,,,,,51184,93.496,44.2353,0.3739,18.0876,33.3079,58.435,58.435
406,37.51877007,105.4052355,6.56,164,203,0.2,2800,,,,,,,,51184,1.1466,1.075,0.0046,0.2218,0.4085,0.7167,0.7167
407,37.51891262,105.4398858,3.28,148,248,1.96,3400,,,,,,,,51184,7.0563,4.1346,0.0176,0.8532,1.5711,2.7564,2.7564
408,37.51904533,105.4745363,4.92,148,201,5.21,2000,,,,,,,,51184,37.2573,21.8304,0.0931,4.5048,8.2956,14.5536,14.5536
409,37.51916822,105.5091869,4.92,148,201,0.08,2000,,,,,,,,51122,2.4344,0.194,0.0021,0.1024,0.3092,0.5425,0.5425
410,37.51928127,105.5438376,2.62,164,187,1.21,3259,,,,,,,,51184,4.7277,2.7696,0.0118,0.5716,0,0,0
411,37.5193845,105.5784885,3.94,131,189,0.42,2400,,,,,,,,51184,5.0805,2.9769,0.0127,0.6143,1.1312,1.9846,1.9846
